"wi","wh","num connections","train time(us)","train mse","test time(us)","test mse"
"000101111","010",6,00:02:30.79,0.03,00:00:07.77,0.016346526831
"000100001","011",4,00:02:50.09,0.03,00:00:05.43,0.016346527525
"001011100","100",5,00:02:49.51,0.03,00:00:04.67,0.016346528271
"000000111","001",4,00:02:47.80,0.03,00:00:05.53,0.016346528450
"010000100","101",4,00:02:48.29,0.03,00:00:04.77,0.016346529268
"011000100","100",4,00:02:06.58,0.03,00:00:07.61,0.016346529549
"110000011","001",5,00:02:47.93,0.03,00:00:07.77,0.016346529553
"101100110","010",6,00:03:00.62,0.03,00:00:05.92,0.016346529795
"011001110","100",6,00:02:35.66,0.03,00:00:07.65,0.016346530618
"001001010","110",5,00:02:46.44,0.03,00:00:05.13,0.016346530880
"011001111","100",7,00:02:54.93,0.03,00:00:04.20,0.016346531498
"001000101","110",5,00:02:45.00,0.03,00:00:05.06,0.016346532743
"100000110","010",4,00:03:00.37,0.03,00:00:04.33,0.016346537683
"000000110","011",4,00:03:06.76,0.03,00:00:06.75,0.016346542369
"000000111","100",4,00:02:30.93,0.03,00:00:05.28,0.016346542401
"000110011","001",5,00:02:40.24,0.03,00:00:01.85,0.016346543045
"000000101","110",4,00:02:47.64,0.03,00:00:05.33,0.016346543202
"100100001","011",5,00:02:43.79,0.03,00:00:03.24,0.016346549712
"101101010","101",7,00:02:49.73,0.01,00:00:07.12,0.016346939569
"001111011","011",8,00:02:49.98,0.01,00:00:06.00,0.016347713336
"110101001","111",8,00:03:02.06,0.01,00:00:05.77,0.016348573007
"101111001","111",9,00:03:09.97,0.01,00:00:05.53,0.016348655303
"110100110","110",7,00:02:53.03,0.01,00:00:05.18,0.016349109873
"000011101","110",6,00:02:37.66,0.03,00:00:04.12,0.016349456540
"010111011","011",8,00:03:25.49,0.01,00:00:00.28,0.016349578325
"100111101","110",8,00:02:57.95,0.01,00:00:06.10,0.016352159976
"000110001","011",5,00:02:32.99,0.03,00:00:01.34,0.016354979360
"001011100","110",6,00:02:49.00,0.03,00:00:05.93,0.016357846956
"001001100","111",6,00:02:51.93,0.01,00:00:05.42,0.016362616596
"010011111","011",8,00:02:58.39,0.01,00:00:06.63,0.016376851964
"100111100","101",7,00:02:51.80,0.01,00:00:05.25,0.016382576726
"001011001","111",7,00:03:00.12,0.01,00:00:05.03,0.016382654341
"010110011","110",7,00:02:43.86,0.01,00:00:08.24,0.016386061989
"011111000","101",7,00:02:59.51,0.01,00:00:08.39,0.016387095789
"010111110","111",9,00:03:21.66,0.01,00:00:05.37,0.016388205920
"011001100","101",6,00:02:10.94,0.01,00:00:11.08,0.016388630310
"011001000","011",5,00:02:38.56,0.01,00:00:07.98,0.016392589180
"011111110","101",9,00:03:03.51,0.01,00:00:03.91,0.016396955488
"101110110","110",8,00:03:01.89,0.01,00:00:08.97,0.016404406408
"011111110","011",9,00:02:54.28,0.01,00:00:06.79,0.016410234663
"000110011","110",6,00:02:33.41,0.01,00:00:08.02,0.016410325032
"111001000","011",6,00:02:41.23,0.01,00:00:07.28,0.016416730564
"111010011","011",8,00:02:38.62,0.01,00:00:05.78,0.016425513784
"110111101","101",9,00:02:53.93,0.01,00:00:06.11,0.016428618523
"001101110","101",7,00:03:06.43,0.01,00:00:04.37,0.016432479923
"001001110","111",7,00:02:52.99,0.01,00:00:08.84,0.016433969643
"111101010","101",8,00:02:57.12,0.01,00:00:07.86,0.016438015787
"111101101","111",10,00:03:02.86,0.01,00:00:05.93,0.016444984789
"000010101","011",5,00:02:47.81,0.03,00:00:05.20,0.016447784469
"110100001","101",6,00:02:51.19,0.01,00:00:06.85,0.016449038096
"111010000","011",6,00:02:50.40,0.01,00:00:06.16,0.016454929395
"011000101","011",6,00:03:02.45,0.01,00:00:07.00,0.016464860990
"110101001","101",7,00:02:41.28,0.01,00:00:05.05,0.016474256896
"111101001","011",8,00:02:36.09,0.01,00:00:07.28,0.016475638466
"011111011","110",9,00:03:01.95,0.01,00:00:06.72,0.016477595953
"010101111","101",8,00:02:43.82,0.01,00:00:08.13,0.016478871675
"111100101","110",8,00:02:36.52,0.01,00:00:05.03,0.016480091705
"101100100","111",7,00:02:55.78,0.01,00:00:06.99,0.016480751033
"101111011","011",9,00:03:05.28,0.01,00:00:04.42,0.016481606742
"001011101","101",7,00:02:56.37,0.01,00:00:07.85,0.016483398060
"111101100","110",8,00:03:08.81,0.01,00:00:07.35,0.016484233605
"101011010","101",7,00:02:48.90,0.01,00:00:04.32,0.016485718858
"110100001","110",6,00:02:55.14,0.01,00:00:07.68,0.016485853320
"110011011","110",8,00:02:55.77,0.01,00:00:01.35,0.016489250594
"111001011","110",8,00:03:05.07,0.01,00:00:08.38,0.016491210248
"100101001","101",6,00:02:46.31,0.01,00:00:03.37,0.016491860508
"001101101","101",7,00:02:36.50,0.01,00:00:04.40,0.016492015066
"011011000","111",7,00:02:55.08,0.01,00:00:06.34,0.016495195732
"111110010","101",8,00:02:42.95,0.01,00:00:09.17,0.016500396072
"011110100","110",7,00:02:38.32,0.01,00:00:07.76,0.016501921106
"110011011","011",8,00:02:56.57,0.01,00:00:05.80,0.016502968325
"111011010","111",9,00:02:37.87,0.01,00:00:04.57,0.016503434250
"111010010","011",7,00:02:25.33,0.01,00:00:08.36,0.016505694772
"101110110","101",8,00:03:12.17,0.01,00:00:00.29,0.016515054843
"011111011","101",9,00:03:04.82,0.01,00:00:08.96,0.016518690381
"000101001","111",6,00:02:24.96,0.01,00:00:04.10,0.016520902354
"011001111","101",8,00:02:43.36,0.01,00:00:10.66,0.016523009626
"011100111","110",8,00:02:44.86,0.01,00:00:08.54,0.016523620049
